algorithm,seed,n_inequalities,recovered_key,fraction_of_solution_recovered,n_iterations,time_seconds_solve_inequalities,approx_number_of_ciphertexts,scale
Greedy Search,100102,125000,True,1.00,67,44.73,2092.38,0.10
Greedy Search,100102,62500,True,1.00,73,24.02,1046.19,0.10
Greedy Search,100102,31250,True,1.00,76,12.49,523.09,0.10
Greedy Search,100102,15625,False,0.75,200,15.76,261.55,0.10
Greedy Search,100102,23438,True,1.00,73,9.04,392.33,0.10
Greedy Search,100102,19532,True,1.00,60,6.40,326.95,0.10
Greedy Search,100102,17579,False,0.87,200,17.64,294.25,0.10
Greedy Search,100102,18556,True,1.00,57,5.87,310.61,0.10
Greedy Search,100102,18068,False,0.96,200,18.04,302.44,0.10
Greedy Search,100102,18312,True,1.00,70,6.83,306.52,0.10
Greedy Search,100102,18190,False,0.90,200,18.26,304.48,0.10
Greedy Search,100102,18251,False,0.94,200,18.24,305.50,0.10
Greedy Search,100102,18282,False,0.95,200,18.33,306.02,0.10
Greedy Search,100102,18297,True,1.00,71,6.92,306.27,0.10
Greedy Search,100102,18290,False,0.92,200,18.33,306.16,0.10
Greedy Search,100102,18294,False,0.95,200,18.28,306.22,0.10
Greedy Search,100102,18296,True,1.00,73,7.12,306.26,0.10
Greedy Search,100102,18295,False,0.89,200,18.33,306.24,0.10
Greedy Search,100103,1000000,True,1.00,69,383.93,16710.00,0.10
Greedy Search,100103,500000,True,1.00,75,199.44,8355.00,0.10
Greedy Search,100103,250000,True,1.00,50,71.19,4177.50,0.10
Greedy Search,100103,125000,True,1.00,70,46.87,2088.75,0.10
Greedy Search,100103,62500,True,1.00,61,20.87,1044.38,0.10
Greedy Search,100103,31250,True,1.00,76,12.51,522.19,0.10
Greedy Search,100103,15625,False,0.76,200,15.78,261.09,0.10
Greedy Search,100103,23438,True,1.00,79,9.69,391.65,0.10
Greedy Search,100103,19532,True,1.00,73,7.58,326.38,0.10
Greedy Search,100103,17579,False,0.83,200,17.75,293.75,0.10
Greedy Search,100103,18556,True,1.00,139,13.03,310.07,0.10
Greedy Search,100103,18068,True,1.00,72,6.94,301.92,0.10
Greedy Search,100103,17824,False,0.91,200,17.97,297.84,0.10
Greedy Search,100103,17946,True,1.00,125,11.40,299.88,0.10
Greedy Search,100103,17885,False,0.87,200,17.96,298.86,0.10
Greedy Search,100103,17916,True,1.00,125,11.38,299.38,0.10
