algorithm,seed,n_inequalities,recovered_key,fraction_of_solution_recovered,n_iterations,time_seconds_solve_inequalities,approx_number_of_ciphertexts,scale
Greedy Search,100203,31373,True,1.00,71,12.18,69742.84,0.20
Greedy Search,100203,31312,False,0.95,200,32.17,69607.23,0.20
Greedy Search,100203,31343,True,1.00,71,12.15,69676.15,0.20
Greedy Search,100203,31328,False,0.93,200,32.50,69642.80,0.20
Greedy Search,100203,31336,True,1.00,71,12.24,69660.59,0.20
Greedy Search,100203,31332,False,0.93,200,32.49,69651.69,0.20
Greedy Search,100203,31334,False,0.93,200,32.52,69656.14,0.20
Greedy Search,100203,31335,False,0.93,200,32.52,69658.36,0.20
Greedy Search,100204,1000000,True,1.00,60,337.94,2223577.00,0.20
Greedy Search,100204,500000,True,1.00,60,163.15,1111788.50,0.20
Greedy Search,100204,250000,True,1.00,71,94.02,555894.25,0.20
Greedy Search,100204,125000,True,1.00,70,46.39,277947.12,0.20
Greedy Search,100204,62500,True,1.00,50,17.35,138973.56,0.20
Greedy Search,100204,31250,False,0.95,200,31.38,69486.78,0.20
Greedy Search,100204,46875,True,1.00,71,17.62,104230.17,0.20
Greedy Search,100204,39063,True,1.00,70,14.50,86859.59,0.20
Greedy Search,100204,35157,True,1.00,70,13.08,78174.30,0.20
Greedy Search,100204,33204,True,1.00,70,12.39,73831.65,0.20
Greedy Search,100204,32227,False,0.93,200,32.58,71659.22,0.20
Greedy Search,100204,32716,False,0.94,200,32.89,72746.55,0.20
Greedy Search,100204,32960,False,0.95,200,32.91,73289.10,0.20
Greedy Search,100204,33082,True,1.00,70,12.39,73560.37,0.20
Greedy Search,100204,33021,False,0.96,200,32.83,73424.74,0.20
Greedy Search,100204,33052,True,1.00,70,12.38,73493.67,0.20
Greedy Search,100204,33037,False,0.95,200,33.17,73460.31,0.20
Greedy Search,100204,33045,False,0.95,200,33.20,73478.10,0.20
Greedy Search,100204,33049,True,1.00,71,12.47,73487.00,0.20
Greedy Search,100204,33047,True,1.00,71,12.47,73482.55,0.20
Greedy Search,100204,33046,False,0.95,200,33.19,73480.33,0.20
Greedy Search,100300,1000000,True,1.00,71,454.41,1946022.00,0.30
Greedy Search,100300,500000,True,1.00,50,166.42,973011.00,0.30
Greedy Search,100300,250000,True,1.00,70,111.08,486505.50,0.30
